month,operational,effective,frac_of_t0,frontier_relative,pool
0,600000.0,600000.0,1.0,4.0,0.0
1,583087.7536511458,583087.7536511458,0.9718129227519098,3.4021407541054303,4745.783414219298
2,571285.2400014175,571285.2400014175,0.9521420666690291,2.917299227082597,3463.0931414142483
3,558661.9900166718,558661.9900166718,0.931103316694453,2.4968170057804833,3566.309414089445
4,546505.0303070932,546505.0303070932,0.9108417171784886,2.137673480863346,3438.079588418516
5,534569.5031824925,534569.5031824925,0.8909491719708208,1.8300417637561346,3377.185627549604
6,522916.3755919796,522916.3755919796,0.8715272926532993,1.566746310335788,3299.5257556753972
7,511520.759157731,511520.759157731,0.8525345985962184,1.3413413654554573,3228.7101877027417
8,500382.09156440955,500382.09156440955,0.8339701526073493,1.1483847821542472,3158.049256447786
9,489493.13700298994,489493.13700298994,0.8158218950049833,0.9832000546421632,3089.3781726747534
10,478848.70299389295,478848.70299389295,0.7980811716564883,0.8417889461419898,3022.13502078605
11,468443.1844897201,468443.1844897201,0.7807386408162001,0.7207280820650952,2956.4332569319026
12,458271.25111341104,458271.25111341104,0.7637854185223517,0.6170874995467,2892.197346769367
13,448327.650267593,448327.650267593,0.7472127504459883,0.5283592028294097,2829.4059008843456
14,438607.2590423851,438607.2590423851,0.7310120984039752,0.45239644453543915,2768.0232552165594
15,429105.06621063856,429105.06621063856,0.7151751103510643,0.38736165378847776,2708.018697014677
16,419816.1739669908,419816.1739669908,0.699693623278318,0.33168189557833827,2649.3610352875007
17,410735.7941873515,410735.7941873515,0.6845596569789192,0.2840107432681959,2592.0201076851845
18,401859.24630285543,401859.24630285543,0.669765410504759,0.24319564761297646,2535.9663365207807
19,393181.95479098754,393181.95479098754,0.6553032579849792,0.20825000793713708,2481.1708340480504
20,384699.4468441461,384699.4468441461,0.6411657447402436,0.17832926810459165,2427.60535366577
21,376407.35005646845,376407.35005646845,0.6273455834274474,0.15271045698624763,2375.2422848957253
22,368301.39017216663,368301.39017216663,0.6138356502869444,0.13077467695088005,2324.054636467384
23,360377.38888171065,360377.38888171065,0.6006289814695177,0.11199211545226222,2274.0160231597674
24,352631.26166824106,352631.26166824106,0.5877187694470685,0.09590921605959533,2225.1006519885314
25,345059.01570210996,345059.01570210996,0.5750983595035166,0.08213769770467608,2177.283308970427
26,337656.74778274534,337656.74778274534,0.5627612463045756,0.07034515578807195,2130.539346109649
27,330420.6423266977,330420.6423266977,0.5507010705444961,0.06024701718450027,2084.8446686974826
28,323346.9694008552,323346.9694008552,0.538911615668092,0.051599654048818215,2040.1757228910742
29,316432.08279980667,316432.08279980667,0.5273868046663445,0.044194489446870065,1996.5094835727105
30,309672.4181663639,309672.4181663639,0.5161206969439398,0.037852951903359,1953.8234424811546
31,303064.49115427246,303064.49115427246,0.5051074852571208,0.03242215655669863,1912.0955966095369
32,296604.895632166,296604.895632166,0.49434149272027667,0.02777120823890986,1871.3044368636397
33,290290.3019278372,290290.3019278372,0.48381716987972867,0.023788036885315746,1831.4289369747978
34,284117.4551119197,284117.4551119197,0.4735290918531995,0.020376688590540475,1792.4485426616673
35,278083.17332009826,278083.17332009826,0.46347195553349707,0.01745500667776195,1754.3431610352825
36,272184.3461129798,272184.3461129798,0.45364057685496634,0.014952646605693249,1717.093150241952
37,266417.93287278246,266417.93287278246,0.4440298881213041,0.012809376632055685,1680.6793093386373
38,260780.96123601438,260780.96123601438,0.4346349353933573,0.010973623079912832,1645.0828683956104
39,255270.52556133477,255270.52556133477,0.42545087593555797,0.009401224982368422,1610.2854788212785
40,249883.78543180824,249883.78543180824,0.4164729757196804,0.008054367955744032,1576.2692039041917
41,244617.96419077925,244617.96419077925,0.4076966069846321,0.006900671494635577,1543.0165095673628
42,239470.34751061292,239470.34751061292,0.39911724585102154,0.005912407599630197,1510.5102553301258
43,234438.28199356387,234438.28199356387,0.39073046998927313,0.005065831830170683,1478.7336854728792
44,229519.17380405197,229519.17380405197,0.38253195634008663,0.004340610598300538,1447.670420400162
45,224710.4873316403,224710.4873316403,0.3745174788860672,0.0037193308498898758,1417.3044481975994
46,220009.74388402575,220009.74388402575,0.36668290647337626,0.0031870802749857435,1387.6201163783837
47,215414.5204093689,215414.5204093689,0.3590242006822815,0.00273108789655119,1358.6021238150195
48,210922.4482473042,210922.4482473042,0.35153741374550695,0.002340416348477517,1330.235512852182
49,206531.21190798696,206531.21190798696,0.3442186865133116,0.002005698404826166,1302.505661596624
50,202238.5478785478,202238.5478785478,0.3370642464642463,0.001718911393120375,1275.3982763801544
51,198042.24345633903,198042.24345633903,0.33007040576056507,0.0014731840411300603,1248.8993843918036
52,193940.13560837178,193940.13560837178,0.3232335593472863,0.0012626310912003372,1222.9953264753774
53,189930.10985635614,189930.10985635614,0.3165501830939269,0.0010822116877855466,1197.6727500886918
54,186010.09918676902,186010.09918676902,0.3100168319779484,0.0009276081187462813,1172.91860242085
55,182178.08298538852,182178.08298538852,0.3036301383089809,0.0007951219830799434,1148.7201236640244
56,178432.08599574532,178432.08599574532,0.2973868099929089,0.0006815852790109131,1125.0648404362662
57,174770.17730095415,174770.17730095415,0.2912836288349236,0.0005842842669715249,1101.9405593519596
58,171190.46932840065,171190.46932840065,0.28531744888066773,0.0005008942706954249,1079.3353607366016
59,167691.11687677054,167691.11687677054,0.2794851947946176,0.0004294238438979142,1057.23759248267
60,164270.31616491955,164270.31616491955,0.2737838602748659,0.0003681669562333415,1035.6358640434116
61,160926.30390209384,160926.30390209384,0.26821050650348977,0.0003156620458752581,1014.5190405614543
62,157657.35637902174,157657.35637902174,0.2627622606317029,0.00027065695184955965,993.8762371292189
63,154461.788579408,154461.788579408,0.2574363142990133,0.00023207888117738148,973.6968131781689
64,151337.953311373,151337.953311373,0.2522299221856217,0.00019900868738811144,953.9703669940073
65,148284.24035838898,148284.24035838898,0.24714040059731496,0.0001706588409839075,934.6867303549956
66,145299.0756492754,145299.0756492754,0.24216512608212565,0.00014635456149226082,915.8359632906268
67,142380.92044682603,142380.92044682603,0.23730153407804339,0.00012551765698679308,897.4083489579548
68,139528.27055464947,139528.27055464947,0.23254711759108246,0.00010765268223266236,879.3943886329363
69,136739.65554181376,136739.65554181376,0.22789942590302292,9.233508250016098e-05,861.7847968142063
70,134013.63798489602,134013.63798489602,0.22335606330816005,7.920103793957271e-05,844.5704964367594
71,131348.81272704623,131348.81272704623,0.21891468787841037,6.793876437872806e-05,827.7426141930725
72,128743.80615368306,128743.80615368306,0.21457301025613845,5.8281061482111455e-05,811.2924759592594
73,126197.2754844485,126197.2754844485,0.21032879247408084,4.999892924440767e-05,795.2116023238929
74,123707.90808105646,123707.90808105646,0.20617984680176077,4.289609950759457e-05,779.4917042171951
75,121274.42077067844,121274.42077067844,0.2021240346177974,3.6804351210232326e-05,764.1246786383434
76,118895.55918451735,118895.55918451735,0.19815926530752892,3.1579496932197354e-05,749.1026044786856
77,116570.09711122888,116570.09711122888,0.19428349518538146,2.7097944442959157e-05,734.4177384387139
78,114296.83586485687,114296.83586485687,0.19049472644142812,2.3253750786307143e-05,720.062511036692
79,112074.6036669569,112074.6036669569,0.18679100611159483,1.9956098272813996e-05,706.0295227068816
80,109902.25504258976,109902.25504258976,0.18317042507098294,1.7127131888896238e-05,692.3115399853499
81,107778.67022987337,107778.67022987337,0.17963111704978896,1.4700106312625409e-05,678.9014917813982
82,105702.75460278864,105702.75460278864,0.1761712576713144,1.2617798160801656e-05,665.7924657326894
83,103673.43810694209,103673.43810694209,0.17278906351157017,1.0831145458462343e-05,652.9777046421885
84,101689.67470799408,101689.67470799408,0.16948279117999013,9.298081774415955e-06,640.4506029950927
85,99750.44185246843,99750.44185246843,0.16625073642078073,7.982537135948923e-06,628.2047035539393
86,97854.73994066565,97854.73994066565,0.16309123323444275,6.853581835045071e-06,616.2336940301519
87,96001.59181140778,96001.59181140778,0.16000265301901295,5.884692663595553e-06,604.5314038302977
88,94190.04223834962,94190.04223834962,0.1569834037305827,5.0531240486340625e-06,593.0918008753852
89,92419.15743759627,92419.15743759627,0.15403192906266044,4.339369071215116e-06,581.9089884915603
90,90688.02458637368,90688.02458637368,0.15114670764395613,3.726697504628603e-06,570.9772023705983
91,88995.75135250372,88995.75135250372,0.14832625225417287,3.200759850979982e-06,560.2908075986256
92,87341.46543444134,87341.46543444134,0.14556910905740225,2.7492479340948346e-06,549.8442957515393
93,85724.31411163684,85724.31411163684,0.14287385685272805,2.3616039591903614e-06,539.6322820556264
94,84143.46380499125,84143.46380499125,0.14023910634165207,2.02877110829987e-06,529.6495026119218
95,82598.09964717859,82598.09964717859,0.13766349941196432,1.7429797328769792e-06,519.8908116828703
96,81087.4250626131,81087.4250626131,0.1351457084376885,1.4975640551808286e-06,510.351179039899
97,79610.66135684532,79610.66135684532,0.1326844355947422,1.2868050183666894e-06,501.02568737052684
98,78167.04731517515,78167.04731517515,0.13027841219195857,1.1057955491594405e-06,491.9095297436813
99,76755.83881027508,76755.83881027508,0.12792639801712513,9.503250315423398e-07,482.9980071319099
100,75376.30841862118,75376.30841862118,0.12562718069770196,8.167802478727104e-07,474.28652598921366
101,74027.74504553441,74027.74504553441,0.12337957507589067,7.020604362206425e-07,465.7705958832509
102,72709.45355863876,72709.45355863876,0.12118242259773128,6.035044489217834e-07,457.44582718069273
103,71420.75442954732,71420.75442954732,0.1190345907159122,5.188282853962283e-07,449.30792878453644
104,70160.98338359159,70160.98338359159,0.11693497230598598,4.4607151911157984e-07,441.35270592221104
105,68929.49105741362,68929.49105741362,0.11488248509568937,3.8355135006891644e-07,433.57605798333316
106,67725.64266424411,67725.64266424411,0.11287607110707351,3.2982319542751306e-07,425.97397640600167
107,66548.81766669448,66548.81766669448,0.11091469611115747,2.8364688619320537e-07,418.54254261053717
108,65398.40945689366,65398.40945689366,0.10899734909482277,2.439576709901724e-07,411.27792597960706
109,64273.825043805286,64273.825043805286,0.10712304173967548,2.0984134199805469e-07,404.1763818836888
110,63174.48474756356,63174.48474756356,0.10529080791260594,1.8051289589079047e-07,397.23424975085896
111,62099.82190067075,62099.82190067075,0.10349970316778459,1.5529822639504038e-07,390.44795117990907
112,61049.282555901904,61049.282555901904,0.10174880425983651,1.3361841689444617e-07,383.8139880958176
113,60022.32520076648,60022.32520076648,0.10003720866794413,1.1497626305469663e-07,377.3289409466281
114,59018.420478379514,59018.420478379514,0.09836403413063252,9.894470820128825e-08,370.9894669408015
115,58037.0509145986,58037.0509145986,0.09672841819099767,8.515691940460155e-08,364.79229832413637
116,57077.71065128593,57077.71065128593,0.09512951775214322,7.329777099299808e-08,358.7342406953675
117,56139.90518555797,56139.90518555797,0.09356650864259661,6.309653544724441e-08,352.81217135957553
118,55223.15111488825,55223.15111488825,0.09203858519148042,5.4320610119733065e-08,347.0230377185583
119,54326.97588793207,54326.97588793207,0.09054495981322012,4.677013264751055e-08,341.36385569733415
120,53450.9175609445,53450.9175609445,0.08908486260157417,4.027335886981348e-08,335.83170820596604
