useful_life_yr,kappa_star,kappa_assumed,regime,zero_inflow_asymptote
2.0,0.1902957693409888,0.275,persists,2.2978765505887282e-17
3.0,0.2854436540114832,0.275,decays,9.227875730942625e-12
4.0,0.3805915386819776,0.275,decays,1.3301370811890406e-09
5.0,0.47573942335247194,0.275,decays,2.6106088425825393e-08
6.0,0.5708873080229664,0.275,decays,1.8937469494159432e-07
