t_half_months,t_frontier_months,sovereign_floor_pct_of_c0,sovereign_floor_closed_form_pct,sovereign_floor_h100e,cap_60mo_pct,cap_120mo_pct,frontier_share_t0,c0,afr,kappa,useful_life_years,frontier_doubling_months,domestic_per_month,leakage_per_month,utilisation_ceiling,frontier_scale,dom_growth_yr
69.0,43.0,36.60428412644448,36.60428403246963,1603214.3926767611,52.84605497577205,40.7944556588638,38.793265558413864,4379854.519593053,0.11003463285833597,0.23656082739937384,4.625569445945882,5.327102362870961,21915.042671717896,14037.451622184555,1.0,112902.44470391348,0.0
24.0,38.0,20.461169224165545,20.461169224165467,925554.1596063079,26.957442639473015,20.99614472976023,44.83552123194272,4523466.618482328,0.07249424344595246,0.23365083184676427,2.0445485857997205,5.1555224590229995,26764.2257133532,10960.245026165236,1.0,100890.2426957762,0.0
43.0,41.0,22.530387840596457,22.530387812797542,995537.7323089041,40.569818877460335,26.764674528977544,62.48183464445532,4418644.451894836,0.10127259072806137,0.3391666469382962,3.582541165079926,4.905120647255766,15586.695426277436,8320.271967033357,1.0,70718.86536364612,0.0
60.0,47.0,39.79859465869194,39.7985946585318,1880490.647673278,49.80993010864908,41.49430010753814,32.99865262922386,4725017.714319172,0.11977983688304239,0.4315924148672051,2.85779134707824,6.259989031008738,38563.11861197848,16272.07925239952,1.0,143188.20127021367,0.0
inf,39.0,81.85339399742941,81.85339392929036,1675644.2579861286,86.71100309724434,83.1884276069856,18.83141132879899,2047128.6236936636,0.10735451577441303,0.2775110115065059,4.662984510657909,5.236188183559408,20770.815318154255,15083.148157580783,1.0,108708.18909695726,0.0
46.0,46.0,38.92929034317859,38.92929034317838,1364648.883044383,45.393453693812205,39.61960734946741,19.682993193412077,3505455.3294303874,0.14130005385517982,0.16299472171783858,2.7693209374348045,6.847276644609669,43515.89590378429,6689.161773362386,1.0,178095.6430246426,0.0
36.0,43.0,20.59501680960733,20.595016808122462,692545.9030935054,35.810277143640164,23.527504694945137,45.06317516414641,3362686.758140644,0.16563640846060723,0.1950845706949952,4.78800141803618,5.566430745785816,13564.873655564506,5265.895030817549,1.0,74621.6116794206,0.0
inf,56.0,85.1894503753448,85.18945000633177,2460857.185983561,89.67703668463405,86.58885515418386,46.4269639782203,2888687.7132567726,0.07177767410143746,0.2738617166282614,4.529615018390268,6.428294001845495,43571.239841002316,3959.8373543853536,1.0,62220.043391420266,0.0
inf,32.0,84.79495865552418,84.79495865546845,955507.664397193,87.35890621026559,85.23895545505185,7.975893903837755,1126844.8968515936,0.1354398108185946,0.15550348671754624,3.915009471311581,5.132182354971474,23564.23294581276,4065.992335991291,1.0,141281.3297716248,0.0
88.0,43.0,43.500044888985414,43.50004487571288,1974447.92833846,56.25204803837634,46.41050778556716,10.289636303188043,4538956.070912946,0.1665599410483732,0.33484227596232374,4.765548791140106,6.983265687985585,35005.47143148929,13317.876792519473,1.0,441119.19383454195,0.0
