leak_multiple,leak_per_month,leak_pct_of_C0_per_yr,t_frontier,t_half,floor_pct
0.0,0.0,0.0,35.0,inf,64.27306416392004
0.05,1375.0,0.8333333333333334,36.0,inf,67.3514547488546
0.05754413442442023,1582.4636966715564,0.9590689070736704,36.0,inf,67.81593059652712
0.06622654813311493,1821.2300736606605,1.1037758022185822,36.0,inf,68.3504878088339
0.07621898776474606,2096.0221635305165,1.2703164627457677,36.0,inf,68.96570045048487
0.08771911355255578,2412.275622695284,1.4619852258759296,36.0,inf,69.67373802949975
0.10095440923718506,2776.2462540225893,1.6825734872864175,36.0,inf,70.48860622198792
0.11618668191765022,3195.133752735381,1.9364446986275037,36.0,inf,71.4264239181215
0.13371724085193243,3677.224123428142,2.2286206808655407,36.0,inf,72.50574206956036
0.15389285764892355,4232.053585345398,2.564880960815392,36.0,inf,73.74791064542244
0.17711262575015652,4870.597208129304,2.951877095835942,36.0,inf,75.1775009555663
0.2038358548885808,5605.486009435972,3.397264248143013,36.0,inf,76.82279169514189
0.23459115668450223,6451.256808823811,3.9098526114083705,36.0,inf,78.71632832484984
0.26998690110066464,7424.639780268278,4.499781685011078,36.0,inf,80.89556685199904
0.31072325059538597,8544.889391373114,5.178720843256432,36.0,inf,83.40361474698209
0.35760601002107417,9834.16527557954,5.960100167017903,37.0,inf,86.29008365121787
0.4115625662326653,11317.970571398295,6.859376103877755,37.0,inf,89.61207074396287
0.473660232707037,13025.656399443518,7.89433721178395,37.0,inf,93.43528818038514
0.5451273620479182,14991.002456317752,9.08545603413197,37.0,inf,97.83536294229033
0.6273776440023001,17252.885210063254,10.456294066705002,37.0,inf,102.89933281382235
0.7220380696268885,19856.046914739436,12.03396782711481,37.0,inf,108.72736807399555
0.8309811147631715,22851.980655987216,13.849685246052859,38.0,inf,115.43475296282817
0.9563617794417305,26299.94893464759,15.939362990695509,38.0,inf,123.15416611641466
1.1006602158914538,30268.15593701498,18.34433693152423,38.0,inf,132.0383050801667
1.2667307883773844,34835.09668037807,21.11217980628974,39.0,inf,142.26290681567423
1.4578585353188014,40091.109721267036,24.297642255313356,39.0,inf,154.03022394975875
1.6778241505634703,46140.164140495435,27.963735842724507,40.0,inf,167.5730255293292
1.930978769211261,53101.91615330968,32.18297948685435,40.0,inf,183.15920142089078
2.222330037323887,61114.076026406896,37.03883395539812,41.0,inf,201.097061434224
2.557641168063852,70335.13212175593,42.6273528010642,41.0,inf,221.7414339920956
2.9435449436899503,80947.48595147363,49.05908239483251,42.0,inf,245.5006849836582
3.3876749184803403,93161.06025820936,56.461248641339004,43.0,inf,272.8447956412978
3.8988164179053917,107217.45149239826,64.98027363175653,43.0,inf,304.314659229285
4.487080320961689,123394.70882644644,74.78467201602815,44.0,inf,340.5327804417924
5.164103063251804,142012.8342394246,86.06838438753006,45.0,inf,382.2155891548416
5.943276817066443,163440.11246932717,99.05461361777405,46.0,inf,430.18761211026464
6.840014401656237,188100.3960455465,114.00024002760397,47.0,inf,485.3977828614324
7.872054163877538,216481.4895066323,131.2009027312923,47.0,inf,548.9382126074341
9.059810860049723,249144.79865136737,150.9968476674954,48.0,inf,622.0657932212232
10.426779479810472,286736.435694788,173.77965799684122,49.0,inf,706.2270598006731
12.0,330000.0,200.0,50.0,inf,803.0868045482199
