useful_life_yr,kappa_star,kappa_assumed,failures_absorbed_pct,t_half_months_zero_inflow
2.0,0.1902957693409888,0.275,100.0,17.0
3.0,0.2854436540114832,0.275,96.3412554930848,25.0
4.0,0.3805915386819776,0.275,72.2559416198136,31.0
5.0,0.47573942335247194,0.275,57.80475329585089,36.0
6.0,0.5708873080229664,0.275,48.1706277465424,41.0
